Company,Contact Name,Contact Email,Contact Phone,Street Address,City,State,Zip / Postal,Country,Slips,Stage,Source,Segment,Tags,Notes,Next Step,Due Date,Deal Amount,Probability %,Hardware $,Software $,Services $,Value Driver,Est. Pedestals,Est. Slips Impacted,Est. Close Date,Competitors,Created At,Industry,Relationship Type,Conversion Target,Research Status,Added By Enrichment,Power Service Found,30A Shore Power,50A+ Shore Power,Fuel Dock,Pumpout,Transient Moorage,Marina Size / Moorage Notes,Primary Source URL,Additional Source URLs,Research Notes,QA Confidence,Last Researched,Address Source URL,Address Research Status,Address Confidence
Fair Harbour Marina and Campground,Marina Contact,,,,Strathcona Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Fairwinds Marina,Marina Contact,,,3521 Dolphin Dr,Regional District of Nanaimo,British Columbia,V9P 9K1,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://fairwinds.ca/marina/,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://fairwinds.ca/marina/,Populated from Fairwinds Marina public address,medium
False Creek Harbour Authority - Fishermen's Wharf,Marina Contact,,,,Metro Vancouver Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
False Creek Yacht Club,Marina Contact,,,1661 Granville St,Metro Vancouver Regional District,British Columbia,V6Z 1L8,CA,110 approx.,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,30A,Yes,Unknown,,,Yes,Approx. 110 boats; 30 amp outlets listed.,https://www.predictwind.com/marinas/canada/british-columbia,,,medium,2026-05-21,https://fcyc.com/,Populated from False Creek Yacht Club public address,medium
Fisherman's Wharf,Marina Contact,,,,Strathcona Regional District,British Columbia,,CA,235+,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,20A / 30A / 50A / 100A,Yes,Yes,Unknown,Unknown,Yes,Sheltered port facility for 235+ vessels with 20/30/50/100A listed.,https://www.predictwind.com/marinas/canada/british-columbia,,,medium,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Fishermen's Harbour -Port Alberni,Marina Contact,,,,Regional District of Alberni-Clayoquot,British Columbia,,CA,500 vessels max,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,Electricity / water listed,Unknown,Unknown,,,Yes,Accommodates up to 500 commercial fishing vessels; electricity and water listed.,https://www.predictwind.com/marinas/canada/british-columbia,,,medium,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Ford Cove Harbour Authority,Marina Contact,,,,Comox Valley Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Freshwater Marina,Marina Contact,,,,Strathcona Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Gallaugher's Sports Fishing Camp,Marina Contact,,,,Capital Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Ganges Centennial Harbour,Marina Contact,,,,Capital Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,30A,Yes,Unknown,,,Yes,30 amp service listed in Ganges/Salt Spring area.,https://www.predictwind.com/marinas/canada/british-columbia,,,medium,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Ganges Kanaka Harbour,Marina Contact,,,,Capital Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Ganges Marina & Fuel Dock,Marina Contact,,,161 Lower Ganges Rd,Capital Regional District,British Columbia,V8K 2T2,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://gangesmarina.com/,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://gangesmarina.com/,Populated from Ganges Marina public address,medium
Genoa Bay Marina,Marina Contact,,,5000 Genoa Bay Rd,Cowichan Valley Regional District,British Columbia,V9L 5Y6,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,15A / 30A / 50A,Yes,Yes,,,Yes,"1,200 ft of moorage; 15/30/50 amp listed.",https://www.predictwind.com/marinas/canada/british-columbia,,,medium,2026-05-21,https://genoabaymarina.com/,Populated from Genoa Bay Marina public address,medium
Gibsons Landing Harbour Authority,Marina Contact,,,,Sunshine Coast Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Gibsons Marina,Marina Contact,,,675 Prowse Rd,Sunshine Coast Regional District,British Columbia,V0N 1V0,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://gibsonsmarina.com/,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://gibsonsmarina.com/,Populated from Gibsons Marina public address,medium
Goldstream Boathouse Marina,Marina Contact,,,,Capital Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Gorge Harbour Marina,Marina Contact,,,,Strathcona Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,30A / 50A,Yes,Yes,Yes,Unknown,Yes,"1,800 ft of dock; 30/50 amp and fuel dock listed.",https://www.predictwind.com/marinas/canada/british-columbia,https://ahoybc.com/moorage/,,medium,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Great Central Lake Rv Resort & Marina,Marina Contact,,,,Regional District of Alberni-Clayoquot,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Harbour Authority of French Creek,Marina Contact,,,,Regional District of Nanaimo,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Harbour Authority of Pender Harbou-Secret Cove,Marina Contact,,,,Sunshine Coast Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Harbour Authority of Pender Harbour-Hospital Bay,Marina Contact,,,,Sunshine Coast Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Harbour Authority of Pender Harbour-Whiskey Slough,Marina Contact,,,,Sunshine Coast Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Harbour Authority of Pender- Madeira Park,Marina Contact,,,,Sunshine Coast Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Harbour Haven,Marina Contact,,,2270 Harbour Rd,Capital Regional District,British Columbia,V8L 2P6,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://www.predictwind.com/marinas/canada/british-columbia,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://www.predictwind.com/marinas/canada/british-columbia,Populated from PredictWind BC marina directory,high
Harbour Quay Marina - Port Albertini,Marina Contact,,,,Regional District of Alberni-Clayoquot,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Harbourside Lodge,Marina Contact,,,,Regional District of Alberni-Clayoquot,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,15A / 30A / 50A,Yes,Yes,Unknown,Unknown,Yes,"Water, 15/30/50A power, phone and cable listed.",https://www.predictwind.com/marinas/canada/british-columbia,,,medium,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Hartley Bay,Marina Contact,,,,Skeena-Queen Charlotte Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Heather Civic Marina,Marina Contact,,,,Metro Vancouver Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Heriot Bay harbour,Marina Contact,,,,Strathcona Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
HERIOT BAY INN marina,Marina Contact,,,,Strathcona Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Heritage Harbour Marina,Marina Contact,,,,Vancouver,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Hidden Harbour- Victoria,Marina Contact,,,,Capital Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Inner Harbour Causeway / Ship Point,Marina Contact,,,,Capital Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Island West Resort,Marina Contact,,,,Regional District of Alberni-Clayoquot,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
JENNIS BAY MARINA,Marina Contact,,,,Regional District of Mount Waddington,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Jeune Landing Marina,Marina Contact,,,Port Alice,Regional District of Mount Waddington,British Columbia,V0N 2N0,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://www.predictwind.com/marinas/canada/british-columbia,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://www.predictwind.com/marinas/canada/british-columbia,Populated from PredictWind BC marina directory,medium
John Henry's Marina & Resort,Marina Contact,,,,Sunshine Coast Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Kelsey Bay Marina,Marina Contact,,,,Strathcona Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,20A / 30A,Yes,No / not found,,,Yes,20/30 amp service; max vessel length 60 ft.,https://www.predictwind.com/marinas/canada/british-columbia,,,medium,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
"Kelsey Bay Small Craft Harbour, DFO",Marina Contact,,,,Strathcona Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Kwatsi Bay,Marina Contact,,,,Regional District of Mount Waddington,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Ladner Harbour Authority-Ladner Harbour Boat Basin,Marina Contact,,,,Delta,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Ladner Harbour-Ladner Wharf (5000 Elliott Street),Marina Contact,,,,Delta,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,30A / 50A,Yes,Yes,,,Yes,20-375 ft vessels; 30/50 amp listed.,https://www.predictwind.com/marinas/canada/british-columbia,,,medium,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Ladner Yacht Club,Marina Contact,,,,Delta,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Ladysmith Marina,Marina Contact,,,,Cowichan Valley Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Lions Bay Marina,Marina Contact,,,,Metro Vancouver Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Little Bay Resort,Marina Contact,,,,Sunshine Coast Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Lund harbour,Marina Contact,,,,Powell River Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Lynnwood Marina & Boatyard,Marina Contact,,,,Metro Vancouver Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Maple Bay Marina,Marina Contact,,,6145 Genoa Bay Rd,Cowichan Valley Regional District,British Columbia,V9L 5T7,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://maplebaymarina.com/,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://maplebaymarina.com/,Populated from Maple Bay Marina public address,medium
Marble Bay Marina,Marina Contact,,,,Powell River Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Marina Park Marina,Marina Contact,,,,Capital Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Maritime Market & Marina Ltd,Marina Contact,,,,Metro Vancouver Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Martins Marina,Marina Contact,,,,Central Coast Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Masset Marina,Marina Contact,,,,Skeena-Queen Charlotte Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Mill Bay Marina,Marina Contact,,,740 Handy Rd,Mill Bay,British Columbia,V0R 2P1,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,30A / 50A,Yes,Yes,Unknown,Unknown,Yes,Official rate page lists 30A and 50A daily power rates.,https://www.millbaymarina.ca/moorage,https://www.millbaymarina.ca/,,high,2026-05-21,https://www.millbaymarina.ca/,Populated from Mill Bay Marina public address,high
Milltown Marina & Boatyard,Marina Contact,,,9191 Bentley St,Metro Vancouver Regional District,British Columbia,V6P 0B9,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://milltownmarina.ca/,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://milltownmarina.ca/,Populated from Milltown Marina public address,medium
Mission Harbour Authority,Marina Contact,,,,Fraser Valley,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
MK Bay Marina,Marina Contact,,,,Regional District of Kitimat-Stikine,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Montague Harbour Marina,Marina Contact,,,,Montague Harbour,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Mosquito Creek Marina,Marina Contact,,,415 Esplanade W,Metro Vancouver Regional District,British Columbia,V7M 1A6,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,30A / 50A,Yes,Yes,,,Yes,30/50 amp service and max length 160 ft listed.,https://www.predictwind.com/marinas/canada/british-columbia,,,medium,2026-05-21,https://mosquitocreekmarina.com/,Populated from Mosquito Creek Marina public address,medium
Newcastle Island Marine Park,Marina Contact,,,,Regional District of Nanaimo,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Newcastle Marina Holdings Ltd,Marina Contact,,,,Regional District of Nanaimo,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Nico Wynd Marina,Marina Contact,,,3601 Nico Wynd Dr,Surrey,British Columbia,V4P 1J1,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://www.predictwind.com/marinas/canada/british-columbia,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://www.predictwind.com/marinas/canada/british-columbia,Populated from PredictWind BC marina directory,high
North Island Marina,Marina Contact,,,25 Beach Dr,Regional District of Mount Waddington,British Columbia,V0N 2R0,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://northislandmarina.com/,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://northislandmarina.com/,Populated from North Island Marina public address,medium
North Saanich Marina,Marina Contact,,,1949 Marina Way,Capital Regional District,British Columbia,V8L 6B3,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://obmg.com/marinas/north-saanich-marina/,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://obmg.com/marinas/north-saanich-marina/,Populated from North Saanich Marina public address,high
Oak Bay Marina,Marina Contact,,,1327 Beach Dr,Capital Regional District,British Columbia,V8S 2N4,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://www.predictwind.com/marinas/canada/british-columbia,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://www.predictwind.com/marinas/canada/british-columbia,Populated from PredictWind BC marina directory,high
